id;code;description;cloudregionid;exambackendid
1;RSS connect;zero administration;46668;6474
2;Cheese;web services;25913;35257
3;Cheese invoice;Investor Unbranded generating;27027;16931
4;Handcrafted Granite Hat;Practical website Practical Wooden Chicken;51103;81601
5;Dynamic;Brand Rubber Bedfordshire;11659;40054
6;SQL dynamic Human;Track Mississippi XSS;90021;28383
7;feed Assistant white;plug-and-play;975;92726
8;Checking Account RSS Lek;Sleek;18106;59624
9;niches;frame programming;61854;73940
10;knowledge user Home Loan Account Hryvnia;Rustic Wooden Towels;53400;41915
