id;code;description;version
1;European Monetary Unit (E.M.U.-6) Colombian Peso Unidad de Valor Real systemic;Inverse maximized Internal;neural
2;Beauty;Borders protocol Pants;Avon invoice
3;incubate alarm;deposit;withdrawal Checking Account
4;web-readiness Auto Loan Account Sausages;Agent Licensed Frozen Shoes;Nevada Cliff Handmade Frozen Hat
5;lavender;sky blue New York Personal Loan Account;yellow Investor bricks-and-clicks
6;Bedfordshire Croatia Infrastructure;Sudanese Pound;Practical Rubber Health
7;Diverse;Investment Account;cross-platform
8;Designer alarm Gold;Suriname;Arkansas
9;Central Directives Multi-tiered;Japan copying Cross-platform;next-generation
10;Fresh Vermont Checking Account;magnetic Gloves;PNG
