id;rhieid;city;country;partner;regionid
1;53222;Lake Genevieveshire;Antigua and Barbuda;haptic calculate;73788
2;22113;Karlborough;Antigua and Barbuda;magnetic;79161
3;60283;Lake Eunamouth;Colombia;virtual;50802
4;37489;Raynorchester;Sudan;Liaison Chief;81221
5;2812;Leannonburgh;Guyana;Legacy harness port;79837
6;78165;Port Harley;Mozambique;Reverse-engineered;98091
7;94713;North Boport;Faroe Islands;24 hour Investor Concrete;35208
8;12214;Port Savannahstad;Cambodia;sky blue;66045
9;69872;Schummtown;Swaziland;wireless;91503
10;81057;Lake Tylermouth;Malawi;Orchestrator Plastic;5602
