id;majorincidentsourceid;starttime;endtime;date;details
1;79849;2020-05-12;2020-05-12;2020-05-12;Chair programming
2;6033;2020-05-12;2020-05-12;2020-05-13;PNG FTP Sleek Cotton Pants
3;84926;2020-05-12;2020-05-13;2020-05-12;Customer-focused
4;54558;2020-05-12;2020-05-12;2020-05-12;Personal Loan Account
5;79376;2020-05-12;2020-05-13;2020-05-12;bleeding-edge deposit THX
6;85811;2020-05-12;2020-05-12;2020-05-13;Pants
7;15721;2020-05-12;2020-05-13;2020-05-12;payment
8;42962;2020-05-13;2020-05-13;2020-05-13;Data synthesizing Object-based
9;79562;2020-05-12;2020-05-12;2020-05-12;Table
10;91653;2020-05-13;2020-05-12;2020-05-12;functionalities Wooden Face to face
