id;proctorstarttime;proctorendtime;proctorid;sessionid;sessionnotes;proctorchat;suspended;terminated;numberofbreaks
1;2020-05-13;2020-05-13;47057;49656;transmitter Checking Account;Personal Loan Account Licensed redefine;true;true;57703
2;2020-05-12;2020-05-13;5519;28741;Internal;lime;false;true;10955
3;2020-05-12;2020-05-12;78866;56667;auxiliary;Soap Qatar;false;false;84026
4;2020-05-13;2020-05-12;60025;93361;invoice Berkshire programming;Industrial;true;false;36706
5;2020-05-12;2020-05-12;63578;69124;Pants programming;Som;true;false;20520
6;2020-05-12;2020-05-12;66492;23753;Cheese Consultant;salmon Product mindshare;true;false;93823
7;2020-05-12;2020-05-12;90542;68859;target Plastic Metal;Licensed cyan;true;false;51529
8;2020-05-12;2020-05-13;55262;21978;payment Consultant;Computers;false;true;76595
9;2020-05-12;2020-05-13;78390;15164;teal Cotton;task-force Data XML;true;true;81344
10;2020-05-12;2020-05-13;51313;37269;Florida;help-desk strategy middleware;true;false;94193
