id;scheduleid;candidateid;locationid;examtypeid;deliverytypeid;deliverystatusid;examid;exambackendid;reservationid
1;98519;97372;40296;1451;29522;47073;69059;32186;redundant disintermediate Dynamic
2;53824;56538;40179;57173;54649;16326;36482;76881;revolutionary
3;80076;67052;40898;2380;62820;12146;61535;1630;Gloves
4;75300;32574;76958;78075;46892;48069;16803;97386;panel
5;46680;37229;81794;65318;12890;29119;18906;9678;synthesizing Credit Card Account Haiti
6;50634;63325;54349;82590;41879;25377;76773;67110;Ergonomic South Carolina
7;39761;89557;99069;71818;31864;22686;40230;7588;Handcrafted Monitored
8;45824;95569;15375;37826;84790;24165;82443;85691;white
9;37391;99050;82906;68376;95048;29729;55398;14268;black
10;74363;37899;68767;24648;92922;27795;79388;21449;open-source Unbranded National
