id;code;description;categoryid
1;Tuna;input;22437
2;primary;cross-platform forecast;79516
3;target world-class;program Senior AI;17501
4;Electronics Awesome;Upgradable value-added;58567
5;Practical Soft Chicken Massachusetts;orchid;65926
6;back-end Frozen policy;redundant solid state user-facing;10920
7;strategy;Silver input;67523
8;Rustic Concrete Tuna parallelism;Convertible Marks Checking Account;7453
9;Administrator;Handmade Rubber Chicken Communications;20640
10;Auto Loan Account extensible copying;technologies Awesome Granite Gloves;1381
