id;starttime;endtime;chatlogs;sessionid;supportpersonid
1;2020-05-12;2020-05-13;scalable methodologies benchmark;5472;34878
2;2020-05-12;2020-05-12;Unbranded Metal Gloves;22653;76682
3;2020-05-12;2020-05-12;software Licensed Rubber Pizza;70995;45160
4;2020-05-12;2020-05-13;Beauty;35658;49070
5;2020-05-12;2020-05-12;holistic;53622;66692
6;2020-05-12;2020-05-13;Buckinghamshire Health Senior;27562;20865
7;2020-05-12;2020-05-12;bypassing;64490;50219
8;2020-05-12;2020-05-12;back-end Falls index;46232;30359
9;2020-05-12;2020-05-12;Kids;63202;9169
10;2020-05-12;2020-05-12;bypass Coves;4194;39792
